Player,Tm,FantPos,Games G,Fantasy FantPt Per Game,Fantasy PPR Per Game,Fantasy DKPt Per Game,Fantasy FDPt Per Game,tier,mean points
Christian McCaffrey,CAR,RB,16,22.1875,29.45,29.825,25.825,1,26.821875000000002
Lamar Jackson,BAL,QB,15,27.733333333333334,27.71333333333333,28.646666666666665,28.113333333333333,1,28.051666666666666
Derrick Henry,TEN,RB,15,18.466666666666665,19.64,20.240000000000002,19.040000000000003,1,19.346666666666668
Aaron Jones,GNB,RB,16,16.625,19.675,20.175,18.14375,1,18.654687499999998
Ezekiel Elliott,DAL,RB,16,16.125,19.48125,19.98125,17.79375,1,18.345312500000002
Dalvin Cook,MIN,RB,14,17.071428571428573,20.885714285714283,21.457142857142856,18.99285714285714,1,19.60178571428571
Michael Thomas,NOR,WR,16,14.125,23.4125,23.6,18.75625,1,19.973437500000003
Travis Kelce,KAN,TE,16,9.8125,15.89375,16.14375,12.8625,2,13.678125000000001
Nick Chubb,CLE,RB,16,13.6875,15.95,16.5125,14.825,2,15.243749999999999
Austin Ekeler,LAC,RB,16,13.5625,19.3125,19.8125,16.4375,1,17.28125
Mark Ingram,BAL,RB,15,14.466666666666667,16.166666666666668,16.7,15.3,2,15.658333333333331
Dak Prescott,DAL,QB,16,21.125,21.1125,22.3,21.8,1,21.584374999999998
Mark Andrews,BAL,TE,15,9.533333333333333,13.813333333333333,14.08,11.68,2,12.276666666666666
Russell Wilson,SEA,QB,16,20.5625,20.5375,21.35,20.85,1,20.825000000000003
Chris Godwin,TAM,WR,14,13.571428571428571,19.72142857142857,19.935714285714287,16.65,1,17.46964285714286
George Kittle,SFO,TE,14,9.857142857142858,15.892857142857142,16.107142857142858,12.857142857142858,2,13.67857142857143
Deshaun Watson,HOU,QB,15,21.333333333333332,21.4,22.8,22.166666666666668,1,21.925
Chris Carson,SEA,RB,15,13.066666666666666,15.506666666666666,16.173333333333332,14.273333333333333,2,14.754999999999999
Darren Waller,OAK,TE,16,8.1875,13.8125,14.0625,11.0,2,11.765625
Kenny Golladay,DET,WR,16,11.4375,15.5,15.75,13.46875,2,14.0390625
Saquon Barkley,NYG,RB,13,14.76923076923077,18.776923076923076,19.23846153846154,16.776923076923076,1,17.390384615384612
Zach Ertz,PHI,TE,15,8.533333333333333,14.373333333333333,14.639999999999999,11.44,2,12.246666666666666
Joe Mixon,CIN,RB,16,11.875,14.0875,14.4625,12.99375,2,13.354687499999999
Todd Gurley,LAR,RB,15,12.533333333333333,14.626666666666667,15.16,13.593333333333334,2,13.978333333333333
Jared Cook,NOR,TE,14,8.928571428571429,11.964285714285714,12.178571428571429,10.428571428571429,3,10.875
Cooper Kupp,LAR,WR,16,11.0625,16.90625,17.09375,13.96875,2,14.7578125
Julio Jones,ATL,WR,15,11.666666666666666,18.273333333333333,18.473333333333336,14.973333333333333,2,15.846666666666668
DeVante Parker,MIA,WR,16,10.875,15.3875,15.575,13.1375,2,13.743749999999999
Leonard Fournette,JAX,RB,15,12.2,17.293333333333333,17.759999999999998,14.76,2,15.503333333333332
Jameis Winston,TAM,QB,16,19.0625,19.0875,21.65,20.9625,1,20.190624999999997
Austin Hooper,ATL,TE,13,9.0,14.746153846153845,14.976923076923075,11.86153846153846,2,12.646153846153844
Amari Cooper,DAL,WR,16,10.5,15.40625,15.59375,12.9375,2,13.609375
Mike Evans,TAM,WR,13,12.76923076923077,17.9,18.13076923076923,15.323076923076922,2,16.03076923076923
A.J. Brown,TEN,WR,16,10.3125,13.56875,13.75625,11.94375,2,12.395312500000001
DeAndre Hopkins,HOU,WR,15,11.0,17.9,18.166666666666668,14.5,2,15.391666666666666
Josh Jacobs,OAK,RB,13,13.23076923076923,14.738461538461538,15.276923076923076,13.96923076923077,2,14.303846153846154
Keenan Allen,LAC,WR,16,9.875,16.34375,16.53125,13.09375,2,13.9609375
Miles Sanders,PHI,RB,16,10.5625,13.66875,14.10625,12.10625,2,12.610937499999999
Allen Robinson,CHI,WR,16,9.8125,15.93125,16.11875,12.86875,2,13.682812499999999
Julian Edelman,NWE,WR,16,9.75,16.01875,16.26875,12.89375,2,13.732812500000001
Alvin Kamara,NOR,RB,14,12.0,17.75,18.25,14.857142857142858,2,15.714285714285715
Marlon Mack,IND,RB,14,11.928571428571429,12.950000000000001,13.164285714285715,12.450000000000001,2,12.623214285714287
Jarvis Landry,CLE,WR,16,9.625,14.8375,15.025,12.24375,2,12.932812499999999
Josh Allen,BUF,QB,16,18.0625,18.0375,19.225,18.6,1,18.481250000000003
Tyler Lockett,SEA,WR,16,9.5625,14.7,14.8875,12.1375,2,12.821874999999999
DJ Chark,JAX,WR,15,10.2,15.053333333333335,15.253333333333334,12.620000000000001,2,13.281666666666666
Kenyan Drake,2TM,RB,14,11.714285714285714,15.299999999999999,15.799999999999999,13.514285714285714,2,14.082142857142856
Patrick Mahomes,KAN,QB,14,20.5,20.5,21.428571428571427,20.857142857142858,1,20.821428571428573
Phillip Lindsay,DEN,RB,16,10.1875,12.35625,12.73125,11.2625,2,11.634374999999999
Kyler Murray,ARI,QB,16,17.8125,17.83125,19.08125,18.58125,1,18.326562499999998
Courtland Sutton,DEN,WR,16,9.375,13.9,14.0875,11.65,2,12.253124999999999
Stefon Diggs,MIN,WR,15,9.933333333333334,14.139999999999999,14.54,12.04,2,12.663333333333332
John Brown,BUF,WR,15,9.866666666666667,14.653333333333334,14.853333333333333,12.253333333333334,2,12.906666666666666
Hunter Henry,LAC,TE,12,7.916666666666667,12.516666666666666,12.85,10.225,3,10.877083333333333
Michael Gallup,DAL,WR,14,10.5,15.192857142857141,15.407142857142857,12.835714285714285,2,13.48392857142857
Aaron Rodgers,GNB,QB,16,17.375,17.4,18.275,17.65,1,17.674999999999997
Tyler Higbee,LAR,TE,15,6.066666666666666,10.693333333333333,10.893333333333334,8.393333333333334,3,9.011666666666667
D.J. Moore,CAR,WR,15,9.6,15.366666666666667,15.633333333333333,12.466666666666667,2,13.266666666666667
Robert Woods,LAR,WR,15,9.533333333333333,15.526666666666667,15.926666666666668,12.526666666666667,2,13.378333333333334
Carson Wentz,PHI,QB,16,17.25,17.24375,18.49375,17.68125,1,17.667187499999997
Raheem Mostert,SFO,RB,16,9.4375,10.325,10.825,9.8875,3,10.118749999999999
Dallas Goedert,PHI,TE,15,5.8,9.646666666666667,9.979999999999999,7.713333333333334,3,8.284999999999998
Le'Veon Bell,NYJ,RB,15,9.933333333333334,14.333333333333334,14.8,12.133333333333333,2,12.799999999999999
Mike Gesicki,MIA,TE,16,5.3125,8.5,8.75,6.90625,3,7.3671875
Calvin Ridley,ATL,WR,13,10.307692307692308,15.153846153846153,15.384615384615385,12.73076923076923,2,13.39423076923077
David Montgomery,CHI,RB,16,9.0625,10.65,11.15,9.86875,3,10.182812499999999
Terry McLaurin,WAS,WR,14,9.571428571428571,13.707142857142857,13.921428571428573,11.635714285714286,2,12.208928571428572
Tyler Boyd,CIN,WR,16,8.3125,13.93125,14.24375,11.11875,2,11.901562499999999
Matt Ryan,ATL,QB,15,17.8,17.82,19.486666666666668,18.753333333333334,1,18.465
Deebo Samuel,SFO,WR,15,8.8,12.606666666666666,13.073333333333332,10.706666666666667,2,11.296666666666667
Marvin Jones,DET,WR,13,10.153846153846153,14.915384615384616,15.146153846153847,12.53076923076923,2,13.186538461538463
Carlos Hyde,HOU,RB,16,8.9375,9.575,9.8875,9.2625,3,9.415624999999999
Tyreek Hill,KAN,WR,12,10.833333333333334,15.691666666666668,15.941666666666668,13.275,2,13.935416666666667
Davante Adams,GNB,WR,12,10.833333333333334,17.724999999999998,18.058333333333334,14.266666666666666,2,15.220833333333331
Sony Michel,NWE,RB,16,8.8125,9.5375,9.7875,9.1625,3,9.325000000000001
Tom Brady,NWE,QB,16,16.5,16.48125,17.23125,16.98125,1,16.798437500000002
Jason Witten,DAL,TE,16,4.8125,8.74375,8.99375,6.775,3,7.331250000000001
Jared Goff,LAR,QB,16,15.5,15.46875,16.96875,16.46875,2,16.1015625
Jimmy Garoppolo,SFO,QB,16,15.4375,15.45625,16.76875,16.26875,2,15.982812500000001
Derek Carr,OAK,QB,16,15.25,15.275,16.15,15.775,2,15.612499999999999
Kirk Cousins,MIN,QB,15,16.266666666666666,16.293333333333333,17.09333333333333,16.693333333333335,1,16.586666666666666
Ryan Fitzpatrick,MIA,QB,15,16.066666666666666,16.1,17.5,16.966666666666665,1,16.658333333333335
Philip Rivers,LAC,QB,16,14.75,14.71875,16.34375,15.96875,2,15.4453125
Baker Mayfield,CLE,QB,16,14.3125,14.325,16.1375,15.6375,2,15.103124999999999
Gardner Minshew II,JAX,QB,14,16.357142857142858,16.37142857142857,17.728571428571428,16.8,1,16.814285714285713
