Player,Tm,FantPos,Games G,Fantasy FantPt,Fantasy PPR,Fantasy DKPt,Fantasy FDPt,Fantasy VBD
Christian McCaffrey*+,CAR,RB,16,355,471.2,477.2,413.2,215
Lamar Jackson*+,BAL,QB,15,416,415.7,429.7,421.7,152
Derrick Henry*,TEN,RB,15,277,294.6,303.6,285.6,136
Aaron Jones,GNB,RB,16,266,314.8,322.8,290.3,125
Ezekiel Elliott*,DAL,RB,16,258,311.7,319.7,284.7,117
Dalvin Cook*,MIN,RB,14,239,292.4,300.4,265.9,99
Michael Thomas*+,NOR,WR,16,226,374.6,377.6,300.1,97
Travis Kelce*,KAN,TE,16,157,254.3,258.3,205.8,80
Nick Chubb*,CLE,RB,16,219,255.2,264.2,237.2,79
Austin Ekeler,LAC,RB,16,217,309.0,317.0,263.0,76
Mark Ingram*,BAL,RB,15,217,242.5,250.5,229.5,76
Dak Prescott,DAL,QB,16,338,337.8,356.8,348.8,74
Mark Andrews*,BAL,TE,15,143,207.2,211.2,175.2,66
Russell Wilson*,SEA,QB,16,329,328.6,341.6,333.6,65
Chris Godwin*,TAM,WR,14,190,276.1,279.1,233.1,61
George Kittle*+,SFO,TE,14,138,222.5,225.5,180.0,61
Deshaun Watson*,HOU,QB,15,320,321.0,342.0,332.5,56
Chris Carson,SEA,RB,15,196,232.6,242.6,214.1,55
Darren Waller,OAK,TE,16,131,221.0,225.0,176.0,54
Kenny Golladay*,DET,WR,16,183,248.0,252.0,215.5,54
Saquon Barkley,NYG,RB,13,192,244.1,250.1,218.1,52
Zach Ertz*,PHI,TE,15,128,215.6,219.6,171.6,51
Joe Mixon,CIN,RB,16,190,225.4,231.4,207.9,50
Todd Gurley,LAR,RB,15,188,219.4,227.4,203.9,48
Jared Cook*,NOR,TE,14,125,167.5,170.5,146.0,48
Cooper Kupp,LAR,WR,16,177,270.5,273.5,223.5,47
Julio Jones*,ATL,WR,15,175,274.1,277.1,224.6,46
DeVante Parker,MIA,WR,16,174,246.2,249.2,210.2,45
Leonard Fournette,JAX,RB,15,183,259.4,266.4,221.4,43
Jameis Winston,TAM,QB,16,305,305.4,346.4,335.4,42
Austin Hooper*,ATL,TE,13,117,191.7,194.7,154.2,40
Amari Cooper*,DAL,WR,16,168,246.5,249.5,207.0,38
Mike Evans*,TAM,WR,13,166,232.7,235.7,199.2,37
A.J. Brown,TEN,WR,16,165,217.1,220.1,191.1,36
DeAndre Hopkins*+,HOU,WR,15,165,268.5,272.5,217.5,35
Josh Jacobs,OAK,RB,13,172,191.6,198.6,181.6,31
Keenan Allen*,LAC,WR,16,158,261.5,264.5,209.5,28
Miles Sanders,PHI,RB,16,169,218.7,225.7,193.7,28
Allen Robinson,CHI,WR,16,157,254.9,257.9,205.9,28
Julian Edelman,NWE,WR,16,156,256.3,260.3,206.3,27
Alvin Kamara*,NOR,RB,14,168,248.5,255.5,208.0,27
Marlon Mack,IND,RB,14,167,181.3,184.3,174.3,27
Jarvis Landry*,CLE,WR,16,154,237.4,240.4,195.9,25
Josh Allen,BUF,QB,16,289,288.6,307.6,297.6,25
Tyler Lockett,SEA,WR,16,153,235.2,238.2,194.2,24
DJ Chark*,JAX,WR,15,153,225.8,228.8,189.3,24
Kenyan Drake,2TM,RB,14,164,214.2,221.2,189.2,24
Patrick Mahomes*,KAN,QB,14,287,287.0,300.0,292.0,23
Phillip Lindsay,DEN,RB,16,163,197.7,203.7,180.2,22
Kyler Murray,ARI,QB,16,285,285.3,305.3,297.3,22
Courtland Sutton*,DEN,WR,16,150,222.4,225.4,186.4,21
Stefon Diggs,MIN,WR,15,149,212.1,218.1,180.6,20
John Brown,BUF,WR,15,148,219.8,222.8,183.8,19
Hunter Henry,LAC,TE,12,95,150.2,154.2,122.7,18
Michael Gallup,DAL,WR,14,147,212.7,215.7,179.7,18
Aaron Rodgers*,GNB,QB,16,278,278.4,292.4,282.4,15
Tyler Higbee,LAR,TE,15,91,160.4,163.4,125.9,15
D.J. Moore,CAR,WR,15,144,230.5,234.5,187.0,14
Robert Woods,LAR,WR,15,143,232.9,238.9,187.9,14
Carson Wentz,PHI,QB,16,276,275.9,295.9,282.9,12
Raheem Mostert,SFO,RB,16,151,165.2,173.2,158.2,11
Dallas Goedert,PHI,TE,15,87,144.7,149.7,115.7,10
Le'Veon Bell,NYJ,RB,15,149,215.0,222.0,182.0,8
Mike Gesicki,MIA,TE,16,85,136.0,140.0,110.5,8
Calvin Ridley,ATL,WR,13,134,197.0,200.0,165.5,5
David Montgomery,CHI,RB,16,145,170.4,178.4,157.9,5
Terry McLaurin,WAS,WR,14,134,191.9,194.9,162.9,5
Tyler Boyd,CIN,WR,16,133,222.9,227.9,177.9,4
Matt Ryan,ATL,QB,15,267,267.3,292.3,281.3,4
Deebo Samuel,SFO,WR,15,132,189.1,196.1,160.6,3
Marvin Jones,DET,WR,13,132,193.9,196.9,162.9,3
Carlos Hyde,HOU,RB,16,143,153.2,158.2,148.2,3
Tyreek Hill*,KAN,WR,12,130,188.3,191.3,159.3,1
Davante Adams*,GNB,WR,12,130,212.7,216.7,171.2,1
Sony Michel,NWE,RB,16,141,152.6,156.6,146.6,
Tom Brady,NWE,QB,16,264,263.7,275.7,271.7,
Jason Witten,DAL,TE,16,77,139.9,143.9,108.4,
Michael Burton,WAS,,10,,,,,
